Participant_ID,Male_1,Trial_Number,Money_Transfered,RT_Investment,RT_Evaluation,RT_Feedback,Eval,Fair,Happy,Amount_Returned,Payback_Shuffle,Order_Shuffle,Final_money_subj,Final_money_trustee,Eval_self,RT_eval_self,Eval_other,RT_eval_other,group
1,1,1,2,1.7841204,0.7759904,12.4065861,2,1,1,2,25,1,9,4,0,0,0,0,case
1,1,2,2,0.4809,0.344625,2.009351,2,1,1,3,43,1,10,3,0,0,0,0,case
1,1,3,2,1.0489594,0.4996736,1.9795062,2,1,1,4,65,1,11,2,0,0,0,0,case
1,1,4,2,2.1828146,0.5563794,2.551926,2,1,1,3,49,1,10,3,0,0,0,0,case
1,1,5,2,0.6201917,0.4154417,2.5364888,2,1,1,2,28,1,9,4,0,0,0,0,case
1,1,6,2,0.356988,0.3923109,2.1491085,2,1,1,3,56,1,10,3,0,0,0,0,case
1,1,7,2,0.4994875,0.3135848,1.6921045,2,1,1,4,60,1,11,2,0,0,0,0,case
1,1,8,2,0.4502997,0.366107,1.6945052,2,1,1,4,63,1,11,2,0,0,0,0,case
1,1,9,2,0.942593,0.3185318,1.5049871,2,1,1,3,54,1,10,3,0,0,0,0,case
1,1,10,2,0.7178928,0.3564174,1.5060616,2,1,1,3,58,1,10,3,0,0,0,0,case
1,1,11,2,0.4329749,0.3491762,1.6330857,2,1,1,2,36,1,9,4,0,0,0,0,case
1,1,12,2,0.5145704,0.2634329,1.6975645,2,1,1,3,47,1,10,3,0,0,0,0,case
1,1,13,2,0.5204713,0.4288016,1.653171,2,1,1,2,32,1,9,4,0,0,0,0,case
1,1,14,2,1.8845401,0.3591182,1.5622208,2,1,1,3,52,1,10,3,0,0,0,0,case
1,1,15,2,0.7776528,0.4456786,2.2544651,2,1,1,2,39,1,9,4,0,0,0,0,case
1,1,16,2,0.4872423,0.1379303,2.3924694,2,1,1,1,23,1,8,5,0,0,0,0,case
1,1,17,2,0.454772,0.3024861,1.505494,2,1,1,3,45,1,10,3,0,0,0,0,case
1,1,18,2,0.6650509,0.2649305,1.5409948,2,1,1,2,41,1,9,4,0,0,0,0,case
1,1,19,2,1.0292455,0.2924352,2.091728,2,1,1,2,34,1,9,4,0,0,0,0,case
1,1,20,2,0.7065564,0.4075662,1.5056155,2,1,1,2,30,1,9,4,0,0,0,0,case
1,1,21,2,0.4842832,0.3340017,1.5056279,2,1,1,1,21,1,8,5,2,0.4105004,2,0.1286679,case
1,1,22,2,0.8520496,0.3792037,1.5053459,2,0,0,2,39,2,9,4,0,0,0,0,case
1,1,23,2,0.587031,0.280129,1.5058145,2,0,0,3,42,2,10,3,0,0,0,0,case
1,1,24,2,0.3502703,0.33773,1.5185313,2,0,0,1,15,2,8,5,0,0,0,0,case
1,1,25,2,0.2612242,0.3083381,1.6309712,2,0,0,3,44,2,10,3,0,0,0,0,case
1,1,26,2,0.2957421,0.3251138,1.5544463,2,0,0,2,35,2,9,4,0,0,0,0,case
1,1,27,2,0.779556,0.2827357,1.551494,2,0,0,2,26,2,9,4,0,0,0,0,case
1,1,28,2,0.4648454,0.2971304,1.6146848,2,0,0,1,24,2,8,5,0,0,0,0,case
1,1,29,2,0.2963403,0.3464178,1.5053701,2,0,0,0,2,2,7,6,0,0,0,0,case
1,1,30,2,0.6145815,0.3403992,1.5963718,2,0,0,2,33,2,9,4,0,0,0,0,case
1,1,31,2,0.2532413,0.1976002,1.6261321,2,0,0,1,13,2,8,5,0,0,0,0,case
1,1,32,2,0.2863929,0.317281,1.505927,2,0,0,1,18,2,8,5,0,0,0,0,case
1,1,33,2,0.0082183,0.3234896,1.7131594,2,0,0,1,9,2,8,5,0,0,0,0,case
1,1,34,2,0.5019914,0.3139742,1.5328026,2,0,0,1,11,2,8,5,0,0,0,0,case
1,1,35,2,0.8007546,0.3863316,1.6310091,2,0,0,0,4,2,7,6,0,0,0,0,case
1,1,36,2,0.4206933,0.49699,1.5074971,2,0,0,2,28,2,9,4,0,0,0,0,case
1,1,37,2,0.5347653,0.3446278,1.5054036,2,0,0,0,0,2,7,6,0,0,0,0,case
1,1,38,2,0.286081,0.3119155,1.5227065,2,0,0,2,31,2,9,4,0,0,0,0,case
1,1,39,2,0.408351,0.3090867,1.50573,2,0,0,0,7,2,7,6,0,0,0,0,case
1,1,40,2,0.5471033,0.502961,1.6542381,2,0,0,1,20,2,8,5,0,0,0,0,case
1,1,41,2,0.528733,0.2896533,2.0157297,2,0,0,1,22,2,8,5,0,0,0,0,case
